"Date","Order ID","Type","Detail","Item ID","Document","Price","AU GST","AU RWT","EU VAT","US Sales Tax","US RWT","US BWT","Amount","Site","Other Party Country","Other Party Region","Other Party City","Other Party Zipcode"
"2017-03-30 22:03:04 +1100","55905140","Purchase","Buyer Fee for WooCommerce Fly Cart","19404839","IVBF16933627","4.00","","","","","","","-4.00","","","","",""
"2017-03-30 22:03:03 +1100","55905140","Purchase","Handling fee for order 55905140","","IVHF8200508","2.00","","","","","","","-2.00","","","","",""
"2017-03-30 22:03:03 +1100","","Envato Credit","Envato Credit via PayPal","","RCD11164698","","","","","","","","21.00","","","","",""
"2017-03-03 17:51:05 +1100","53728199","Purchase","Slider Revolution Responsive WordPress Plugin (6 months included support)","2751380","IVIP16368130","7.88","","","","","","","-7.88","CodeCanyon","","","",""
"2017-03-03 17:51:05 +1100","53728199","Purchase","Slider Revolution Responsive WordPress Plugin (Regular License)","2751380","IVIP16368130","13.12","","","","","","","-13.12","CodeCanyon","","","",""
"2017-03-03 17:51:05 +1100","53728199","Purchase","Buyer Fee for Slider Revolution Responsive WordPress Plugin","2751380","IVBF16309239","4.00","","","","","","","-4.00","","","","",""
"2017-03-03 17:51:05 +1100","53728199","Purchase","Handling fee for order 53728199","","IVHF7842562","2.00","","","","","","","-2.00","","","","",""
"2017-03-03 17:51:05 +1100","","Envato Credit","Envato Credit via PayPal","","RCD10718567","","","","","","","","27.00","","","","",""
"2017-03-03 15:32:53 +1100","53723498","Purchase","Facebook Live Chat for WordPress (6 months included support)","13623421","IVIP16366690","5.63","","","","","","","-5.63","CodeCanyon","","","",""
"2017-03-03 15:32:53 +1100","53723498","Purchase","Facebook Live Chat for WordPress (Regular License)","13623421","IVIP16366690","9.37","","","","","","","-9.37","CodeCanyon","","","",""
"2017-03-03 15:32:53 +1100","53723498","Purchase","Buyer Fee for Facebook Live Chat for WordPress","13623421","IVBF16307806","4.00","","","","","","","-4.00","","","","",""
"2017-03-03 15:32:53 +1100","53723498","Purchase","Handling fee for order 53723498","","IVHF7841803","2.00","","","","","","","-2.00","","","","",""
"2017-03-03 15:32:53 +1100","","Envato Credit","Envato Credit via PayPal","","RCD10717579","","","","","","","","21.00","","","","",""
"2017-03-02 16:29:32 +1100","53628510","Purchase","Table Rate Shipping for WooCommerce (6 months included support)","3796656","IVIP16339976","6.75","","","","","","","-6.75","CodeCanyon","","","",""
"2017-03-02 16:29:32 +1100","53628510","Purchase","Table Rate Shipping for WooCommerce (Regular License)","3796656","IVIP16339976","11.25","","","","","","","-11.25","CodeCanyon","","","",""
"2017-03-02 16:29:32 +1100","53628510","Purchase","Buyer Fee for Table Rate Shipping for WooCommerce","3796656","IVBF16281297","4.00","","","","","","","-4.00","","","","",""
"2017-03-02 16:29:32 +1100","53628510","Purchase","Handling fee for order 53628510","","IVHF7826917","2.00","","","","","","","-2.00","","","","",""
"2017-03-02 16:29:32 +1100","","Envato Credit","Envato Credit via PayPal","","RCD10698872","","","","","","","","24.00","","","","",""
"2017-01-27 19:30:31 +1100","50768316","Purchase","Slider Revolution Responsive WordPress Plugin (6 months included support)","2751380","IVIP15567657","7.88","","","","","","","-7.88","CodeCanyon","","","",""
"2017-01-27 19:30:31 +1100","50768316","Purchase","Slider Revolution Responsive WordPress Plugin (Regular License)","2751380","IVIP15567657","13.12","","","","","","","-13.12","CodeCanyon","","","",""
"2017-01-27 19:30:31 +1100","50768316","Purchase","Buyer Fee for Slider Revolution Responsive WordPress Plugin","2751380","IVBF15515459","4.00","","","","","","","-4.00","","","","",""
"2017-01-27 19:30:31 +1100","50768316","Purchase","Handling fee for order 50768316","","IVHF7385090","2.00","","","","","","","-2.00","","","","",""
"2017-01-27 19:30:31 +1100","","Envato Credit","Envato Credit via Credit Card","","RCD10148489","","","","","","","","27.00","","","","",""
